From	To	Species	Gene Name
259889_at	AT1G76405	Arabidopsis thaliana	outer envelope pore 21B-like protein(AT1G76405)
251898_at	AT3G54340	Arabidopsis thaliana	K-box region and MADS-box transcription factor family protein(AP3)
262682_at	AT1G75900	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G75900)
250297_at	AT5G11980	Arabidopsis thaliana	conserved oligomeric Golgi complex component-related / COG complex component-like protein(AT5G11980)
252730_at	AT3G43110	Arabidopsis thaliana	transmembrane protein(AT3G43110)
262178_at	AT1G77860	Arabidopsis thaliana	Rhomboid-related intramembrane serine protease family protein(KOM)
248647_at	AT5G49190	Arabidopsis thaliana	sucrose synthase 2(SUS2)
266884_at	AT2G44790	Arabidopsis thaliana	uclacyanin 2(UCC2)
249617_at	AT5G37450	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G37450)
248016_at	AT5G56380	Arabidopsis thaliana	F-box/RNI-like/FBD-like domains-containing protein(AT5G56380)
267625_at	AT2G42240	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(AT2G42240)
261321_at	AT1G44740	Arabidopsis thaliana	hypothetical protein(AT1G44740)
265546_at	AT2G28240	Arabidopsis thaliana	ATP-dependent helicase family protein(AT2G28240)
252513_at	AT3G46220	Arabidopsis thaliana	E3 UFM1-protein ligase-like protein(AT3G46220)
262154_at	AT1G52700	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G52700)
248623_at	AT5G49170	Arabidopsis thaliana	hypothetical protein(AT5G49170)
255160_at	AT4G07820	Arabidopsis thaliana	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G07820)
251440_at	AT3G60010	Arabidopsis thaliana	SKP1-like 13(SK13)
248659_at	AT5G48640	Arabidopsis thaliana	Cyclin family protein(AT5G48640)
249102_at	AT5G43590	Arabidopsis thaliana	Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein(AT5G43590)
259054_at	AT3G03480	Arabidopsis thaliana	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase(CHAT)
257467_at	AT1G31320	Arabidopsis thaliana	LOB domain-containing protein 4(LBD4)
253837_at	AT4G27850	Arabidopsis thaliana	Glycine-rich protein family(AT4G27850)
250332_at	AT5G11680	Arabidopsis thaliana	classical AGP protein(AT5G11680)
263550_at	AT2G17033	Arabidopsis thaliana	pentatricopeptide (PPR) repeat-containing protein(AT2G17033)
261562_at	AT1G01750	Arabidopsis thaliana	actin depolymerizing factor 11(ADF11)
259877_at	AT1G76710	Arabidopsis thaliana	SET domain group 26(ASHH1)
251886_at	AT3G54260	Arabidopsis thaliana	TRICHOME BIREFRINGENCE-LIKE 36(TBL36)
249092_at	AT5G43710	Arabidopsis thaliana	Glycosyl hydrolase family 47 protein(AT5G43710)
249067_at	AT5G43960	Arabidopsis thaliana	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein(AT5G43960)
249616_s_at	AT5G37440	Arabidopsis thaliana	Chaperone DnaJ-domain superfamily protein(AT5G37440)
259283_at	AT3G11440	Arabidopsis thaliana	myb domain protein 65(MYB65)
253874_at	AT4G27450	Arabidopsis thaliana	aluminum induced protein with YGL and LRDR motifs(AT4G27450)
263549_at	AT2G21650	Arabidopsis thaliana	Homeodomain-like superfamily protein(MEE3)
259017_at	AT3G07310	Arabidopsis thaliana	phosphoserine aminotransferase, putative (DUF760)(AT3G07310)
256624_at	AT3G19990	Arabidopsis thaliana	E3 ubiquitin-protein ligase(AT3G19990)
248888_at	AT5G46240	Arabidopsis thaliana	1(KAT1)
248028_at	AT5G55620	Arabidopsis thaliana	hypothetical protein(AT5G55620)
262728_at	AT1G75820	Arabidopsis thaliana	Leucine-rich receptor-like protein kinase family protein(CLV1)
267613_at	AT2G26700	Arabidopsis thaliana	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(PID2)
250103_at	AT5G16600	Arabidopsis thaliana	myb domain protein 43(MYB43)
263136_at	AT1G78580	Arabidopsis thaliana	trehalose-6-phosphate synthase(TPS1)
251668_at	AT3G57010	Arabidopsis thaliana	Calcium-dependent phosphotriesterase superfamily protein(AT3G57010)
249605_at	AT5G37240	Arabidopsis thaliana	hypothetical protein(AT5G37240)
245094_at	AT2G40840	Arabidopsis thaliana	disproportionating enzyme 2(DPE2)
251439_at	AT3G59950	Arabidopsis thaliana	Peptidase family C54 protein(AT3G59950)
266896_at	AT2G45810	Arabidopsis thaliana	DEA(D/H)-box RNA helicase family protein(AT2G45810)
261598_at	AT1G49750	Arabidopsis thaliana	Leucine-rich repeat (LRR) family protein(AT1G49750)
249571_at	AT5G37620	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT5G37620)
249296_at	AT5G41310	Arabidopsis thaliana	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein(AT5G41310)
263731_at	AT1G59970	Arabidopsis thaliana	Matrixin family protein(AT1G59970)
260421_at	AT1G69640	Arabidopsis thaliana	sphingoid base hydroxylase 1(SBH1)
262694_at	AT1G62790	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G62790)
261369_at	AT1G53060	Arabidopsis thaliana	Legume lectin family protein(AT1G53060)
