gene	A_1	A_2	A_3
AT3G13170	0.510732897	0.953586699	0.450834576
AT3G13175	5.269935285	4.858996728	4.953392595
AT3G13180	19.48292637	19.92350779	23.47251525
AT3G13190	11.98448713	12.7074561	11.85234956
AT3G13200	148.3654746	149.5278723	113.8357304
AT3G13210	0.404203162	0.559026365	0.520331231
AT3G13220	0	0	0
AT3G13222	24.28982576	22.77534492	19.68465837
AT3G13224	23.18096819	20.80820358	17.0050906
AT3G13227	0	0	0
AT3G13225	17.47436761	18.73280359	17.06712254
AT3G13226	21.58338825	20.78876963	26.15411979
AT3G13228	0	0	0
AT3G13229	0	0	0
AT3G13230	81.64732244	84.57143124	80.70010699
AT3G13235	39.75441744	44.92771263	40.89603345
AT3G13240	6.459537717	4.288202241	7.412559191
AT3G13275	8.200195597	11.01895064	5.34660721
AT3G13276	0.536934065	0.5569482	0
AT3G13280	0	0.260102545	0.276684067
AT3G13290	14.8625725	12.88362661	15.36818001
AT3G13300	50.71948593	47.46861063	48.80945425
AT3G13310	57.18891643	52.97469729	27.73566692
AT3G13320	24.83272949	26.41546686	26.4917713
AT3G13330	36.55505649	35.83787709	31.593414
AT3G13340	48.48743684	44.1831676	43.00366254
AT3G13350	15.38062395	19.96883176	17.64534101
AT3G13360	24.62423439	24.70465311	23.16165784
AT3G13370	0	0	0
AT3G13380	9.145115191	8.358291914	6.315526687
AT3G13390	0	0	0
AT3G13400	0	0	0.148804876
AT3G13404	0.960766719	0.332193051	1.060111015
AT3G13403	0	0	0
AT3G13410	154.8504403	164.1938391	154.71619
AT3G13420	3.031096303	2.266662293	3.033397209
AT3G13430	8.905148741	7.535518181	6.292056058
AT3G13432	2.093264686	1.930036274	0.256634497
AT3G13433	0.287147641	0	0
AT3G13435	8.039068461	5.003234108	3.843803885
AT3G13437	5.035357805	3.298768421	4.386330897
AT3G13440	27.09484178	28.76350408	23.7458998
AT3G13445	23.58348544	25.47713233	24.2232841
AT3G13450	24.42655189	23.24398741	24.37423875
AT3G13460	222.1937104	206.0315285	213.6971944
AT3G13470	122.0441067	112.6195277	130.862608
AT3G13480	14.14572167	16.32785106	15.49104785
AT3G13490	36.5398669	35.56311157	40.46447314
AT3G13500	0	0.245605026	0.261262332
AT3G13510	25.74375447	29.80152761	30.3674046
AT3G13520	446.6794256	444.6481903	440.530223
AT3G13530	9.457605941	10.25774756	10.8124813
AT3G13540	0.3240881	0	0.357599153
AT3G13550	13.58966258	15.71790365	12.73898599
AT3G13560	12.25511325	11.066181	15.15222563
AT3G13570	62.99956279	59.36448495	64.52177109
AT3G13580	143.4968181	138.75741	129.4351926
AT3G13590	1.592347261	1.554542836	1.240233639
AT3G13600	2.058904402	2.912249659	2.89137838
AT3G13610	0.982552812	0.917259586	0.325244944
AT3G13620	13.22354744	15.75179782	14.68501094
AT3G13630	0	0.175022273	0
AT3G13640	0.788932111	0.566542686	0.535697555
AT3G13650	20.20798303	13.30232064	9.862360143
AT3G13660	0.870966412	1.204575403	1.281367016
AT3G13662	0	0	0
AT3G13670	81.66517108	78.12073238	69.37837643
