"","gene","log2FoldChange"
"2342","AT1G27461",8.20778549984493
"2343","AT1G27470",-0.870055812501244
"2344","AT1G27480",0.12264051477676
"2345","AT1G27500",-0.22752387504015
"2346","AT1G27510",-0.166634355731859
"2347","AT1G27520",-0.0997179481276946
"2348","AT1G27530",0.303755736793924
"2349","AT1G27540",0.255421558776209
"2350","AT1G27595",-0.154110587508195
"2351","AT1G27600",0.14295144632262
"2352","AT1G27610",1.79967293542435
"2353","AT1G27620",0.0761638200561863
"2354","AT1G27630",0.358979203381165
"2355","AT1G27640",-1.01802982436602
"2356","AT1G27650",-0.296907901508298
"2357","AT1G27660",0.819725356506037
"2358","AT1G27670",0.248555700229098
"2359","AT1G27680",0.291706427237118
"2360","AT1G27690",-0.0314268199716189
"2361","AT1G27695",0.240655926115876
"2362","AT1G27700",0.228927389336082
"2363","AT1G27720",-0.203177218759272
